Id,País de origem,País de destino,Ano,Quantidade (kg/L),Valor em US$
71,Brasil,Irã,2008,0,0
72,Brasil,Iraque,2008,0,0
73,Brasil,Irlanda,2008,0,0
74,Brasil,Itália,2008,0,0
75,Brasil,Jamaica,2008,0,0
76,Brasil,Japão,2008,232293,178333
77,Brasil,Jordânia,2008,0,0
78,Brasil,Letônia,2008,0,0
79,Brasil,Líbano,2008,0,0
80,Brasil,Libéria,2008,0,0
81,Brasil,Luxemburgo,2008,13606,42341
82,Brasil,Malásia,2008,0,0
83,Brasil,Malta,2008,0,0
84,Brasil,"Marshall, Ilhas",2008,0,0
85,Brasil,Mauritânia,2008,0,0
86,Brasil,México,2008,0,0
87,Brasil,Moçambique,2008,0,0
88,Brasil,Montenegro,2008,0,0
89,Brasil,Namibia,2008,340,722
90,Brasil,Nicaragua,2008,0,0
91,Brasil,Nigéria,2008,7560,10920
92,Brasil,Noruega,2008,0,0
93,Brasil,Nova Caledônia,2008,0,0
94,Brasil,Nova Zelândia,2008,0,0
95,Brasil,Omã,2008,0,0
96,Brasil,Países Baixos,2008,340412,783635
97,Brasil,Panamá,2008,1161,1882
98,Brasil,Paraguai,2008,2191901,1374088
99,Brasil,Peru,2008,0,0
100,Brasil,Polônia,2008,20290,58353
101,Brasil,Porto Rico,2008,0,0
102,Brasil,Portugal,2008,49090,48942
103,Brasil,Quênia,2008,0,0
104,Brasil,Reino Unido,2008,100097,155076
105,Brasil,República Dominicana,2008,0,0
106,Brasil,Rússia,2008,6207658,2352768
107,Brasil,São Tomé e Príncipe,2008,0,0
108,Brasil,São Vicente e Granadinas,2008,0,0
109,Brasil,Senegal,2008,0,0
110,Brasil,Serra Leoa,2008,0,0
111,Brasil,Singapura,2008,0,0
112,Brasil,Suazilândia,2008,0,0
113,Brasil,Suécia,2008,26984,84564
114,Brasil,Suíça,2008,54384,216317
115,Brasil,Suriname,2008,900,1625
116,Brasil,Tailândia,2008,0,0
117,Brasil,Taiwan (FORMOSA),2008,10030,18679
118,Brasil,Tanzânia,2008,0,0
119,Brasil,"Tcheca, República",2008,17135,64709
120,Brasil,Togo,2008,5160,7800
121,Brasil,Trinidade Tobago,2008,0,0
122,Brasil,Tunísia,2008,0,0
123,Brasil,Turquia,2008,0,0
124,Brasil,Tuvalu,2008,0,0
125,Brasil,Uruguai,2008,0,0
126,Brasil,Vanuatu,2008,0,0
127,Brasil,Venezuela,2008,0,0
128,Brasil,Vietnã,2008,0,0
1,Brasil,Afeganistão,2009,0,0
2,Brasil,África do Sul,2009,0,0
3,Brasil,"Alemanha, República Democrática",2009,225086,393482
4,Brasil,Angola,2009,54786,84235
