Id,País de origem,País de destino,Ano,Quantidade (kg/L),Valor em US$,Population Qt
10,Brasil,Austrália,2009,1014,9195,16650.840500000002
11,Brasil,Áustria,2009,0,0,6791.084000000003
12,Brasil,Bahamas,2009,0,0,249.2520000000001
13,Brasil,Bangladesh,2009,0,0,87812.21350000009
14,Brasil,Barbados,2009,0,0,207.11399999999992
15,Brasil,Barein,2009,0,0,891.2180000000001
16,Brasil,Bélgica,2009,125962,58764,8589.318
17,Brasil,Belice,2009,0,0,179.896
18,Brasil,Benin,2009,0,0,4537.816000000001
19,Brasil,Bolívia,2009,40463,20729,5856.198499999999
20,Brasil,Bósnia-Herzegovina,2009,0,0,3114.185000000001
21,Brasil,Brasil,2009,0,0,135161.1315000001
22,Brasil,Bulgária,2009,0,0,6355.620499999999
23,Brasil,Cabo Verde,2009,0,0,308.5085000000002
24,Brasil,Camarões,2009,0,0,9526.214000000002
25,Brasil,Canadá,2009,15664,73445,26649.137
26,Brasil,Catar,2009,0,0,1353.1309999999994
27,Brasil,"Cayman, Ilhas",2009,0,0,41.22250000000001
28,Brasil,Chile,2009,1475,4297,12293.236499999999
29,Brasil,China,2009,1553416,482400,1031521.7995000002
30,Brasil,Chipre,2009,0,0,866.1805
31,Brasil,Cingapura,2009,2419,6110,4037.906500000001
32,Brasil,"Cocos (Keeling), Ilhas",2009,0,0,
33,Brasil,Colômbia,2009,0,0,29435.37199999998
34,Brasil,Comores,2009,0,0,324.11800000000005
35,Brasil,Congo,2009,0,0,2259.3359999999993
36,Brasil,"Coreia, Republica Sul",2009,0,0,38244.44649999999
37,Brasil,Costa do Marfim,2009,0,0,10168.269000000002
38,Brasil,Costa Rica,2009,0,0,3164.9004999999997
39,Brasil,Croácia,2009,0,0,3558.0040000000004
40,Brasil,Cuba,2009,0,0,8802.244999999994
41,Brasil,Curaçao,2009,0,0,114.56649999999998
42,Brasil,Dinamarca,2009,1980,21780,4309.166499999999
43,Brasil,Dominica,2009,0,0,48.237
44,Brasil,El Salvador,2009,55,100,3687.211000000002
45,Brasil,Emirados Arabes Unidos,2009,1398,4032,6508.922499999999
46,Brasil,Equador,2009,0,0,9198.978999999998
47,Brasil,"Eslovaca, Republica",2009,0,0,4335.360999999999
48,Brasil,Espanha,2009,2181,4050,38142.53499999999
49,Brasil,Estados Unidos,2009,372319,660066,233591.27099999998
50,Brasil,Estônia,2009,5438,10802,1088.2264999999998
51,Brasil,Filipinas,2009,0,0,54618.77199999997
52,Brasil,Finlândia,2009,0,0,4248.823499999999
53,Brasil,França,2009,0,0,48483.96450000001
54,Brasil,Gana,2009,0,0,13545.297000000004
55,Brasil,Gibraltar,2009,0,0,24.0285
56,Brasil,Granada,2009,0,0,
57,Brasil,Grécia,2009,0,0,9123.423999999999
58,Brasil,Guatemala,2009,20,20,7592.554000000002
59,Brasil,Guiana,2009,0,0,
60,Brasil,Guiana Francesa,2009,0,0,
61,Brasil,Guine Bissau,2009,0,0,760.9444999999995
62,Brasil,Guine Equatorial,2009,169,272,571.5590000000002
63,Brasil,Haiti,2009,4500,5863,5532.731500000002
64,Brasil,Honduras,2009,14,30,4537.754500000001
65,Brasil,Hong Kong,2009,50319,27188,
66,Brasil,Hungria,2009,0,0,8168.107500000001
67,Brasil,Ilha de Man,2009,0,0,
68,Brasil,Ilhas Virgens,2009,0,0,
69,Brasil,India,2009,0,0,766046.9334999999
70,Brasil,Indonésia,2009,0,0,
71,Brasil,Irã,2009,0,0,53036.86299999997
72,Brasil,Iraque,2009,0,0,15681.038499999993
73,Brasil,Irlanda,2009,0,0,3395.5259999999994
74,Brasil,Itália,2009,1817,5251,49422.71500000001
75,Brasil,Jamaica,2009,0,0,1799.3269999999998
76,Brasil,Japão,2009,217974,283436,107457.18900000003
77,Brasil,Jordânia,2009,0,0,3819.6210000000015
