Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Colombia,COL,44313917,44816108,45308899,45782417,46237930,46677947,47119728,47625955,48351671,49276961,50187406,50930662,51516562,51874024,..
"Population, total",SP.POP.TOTL,Comoros,COM,642493,656024,670071,684553,699393,714612,730216,746232,761664,776313,790986,806166,821625,836774,..
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,64270232,66391257,68654269,70997870,73460021,76035588,78656904,81430977,84283273,87087355,89906890,92853164,95894118,99010212,..
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4257230,4437884,4584216,4713257,4828066,4944861,5064386,5186824,5312340,5441062,5570733,5702174,5835806,5970424,..
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4563127,4622252,4679926,4736593,4791535,4844288,4895242,4945205,4993842,5040734,5084532,5123105,5153957,5180829,..
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,20677762,21120042,21562914,22010712,22469268,22995555,23596741,24213622,24848016,25493988,26147551,26811790,27478249,28160542,..
"Population, total",SP.POP.TOTL,Croatia,HRV,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3879000,3855600,..
"Population, total",SP.POP.TOTL,Cuba,CUB,11283185,11290417,11298710,11309290,11321579,11332026,11339894,11342012,11336405,11328244,11316697,11300698,11256372,11212191,..
"Population, total",SP.POP.TOTL,Curacao,CUW,146833,148703,150831,152088,153822,155909,157980,159664,160175,159336,157441,154947,152369,149996,..
"Population, total",SP.POP.TOTL,Cyprus,CYP,1110974,1129686,1145086,1156556,1166968,1176995,1187280,1197881,1208523,1218831,1228836,1237537,1244188,1251488,..
"Population, total",SP.POP.TOTL,Czechia,CZE,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118,..
"Population, total",SP.POP.TOTL,Denmark,DNK,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5903037,..
"Population, total",SP.POP.TOTL,Djibouti,DJI,901103,919199,936811,954297,971753,989087,1006259,1023261,1040233,1057198,1073994,1090156,1105557,1120849,..
"Population, total",SP.POP.TOTL,Dominica,DMA,68787,68755,68742,68888,68819,69371,70007,70075,70403,70823,71428,71995,72412,72737,..
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,9648061,9775755,9903737,10030882,10157051,10282115,10405832,10527592,10647244,10765531,10881882,10999664,11117873,11228821,..
"Population, total",SP.POP.TOTL,Ecuador,ECU,14742766,14989585,15237728,15483883,15722989,15957994,16195902,16439585,16696944,17015672,17343740,17588595,17797737,18001000,..
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,85501064,87252413,89200054,91240376,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178,110990103,..
"Population, total",SP.POP.TOTL,El Salvador,SLV,6091188,6114034,6137349,6161289,6185642,6209526,6231066,6250510,6266654,6276342,6280217,6292731,6314167,6336392,..
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1043686,1094524,1144588,1193636,1243941,1295183,1346973,1398927,1450694,1502091,1553031,1596049,1634466,1674908,..
"Population, total",SP.POP.TOTL,Eritrea,ERI,3083888,3147727,3207570,3252596,3296367,3323425,3340006,3365287,3396933,3445374,3498818,3555868,3620312,3684032,..
"Population, total",SP.POP.TOTL,Estonia,EST,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932,1348840,..
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1094886,1099920,1105371,1111444,1118319,1125865,1133936,1142524,1151390,1160428,1169613,1180655,1192271,1201670,..
